9782,1,14173
2208,0,2812
735,1,602
4225,0,5837
2754,0,3631
577,1,365
9400,1,13600
8787,0,12680
1358,2,1537
5871,2,8306
4079,0,5618
3072,0,4108
1752,1,2128
3534,0,4801
2690,0,3535
8390,1,12085
9215,0,13322
2411,1,3116
1279,2,1418
761,0,641
623,2,434
8803,2,12704
2670,2,3505
7622,1,10933
6126,1,8689
6258,2,8887
1507,0,1760
6989,1,9983
8946,2,12919
3920,0,5380
5895,1,8342
9001,2,13001
4114,1,5671
5043,2,7064
5624,0,7936
7095,2,10142
1650,2,1975
6788,1,9682
5391,1,7586
1894,0,2341
5031,1,7046
4470,1,6205
8494,1,12241
3383,2,4574
5870,2,8305
8569,0,12353
7126,1,10189
4304,2,5956
2928,1,3892
9165,2,13247
4187,1,5780
1232,0,1348
6563,1,9344
7527,0,10790
4728,2,6592
7354,0,10531
8775,1,12662
1924,2,2386
8597,0,12395
8407,0,12110
8477,0,12215
9390,1,13585
5145,2,7217
4868,2,6802
9444,1,13666
6025,1,8537
662,2,493
1362,0,1543
4776,1,6664
7016,2,10024
6327,2,8990
8488,2,12232
9230,0,13345
2651,2,3476
8894,0,12841
573,1,359
6017,2,8525
5565,0,7847
5329,0,7493
1902,1,2353
5225,2,7337
865,2,797
675,1,512
7210,0,10315
7263,0,10394
5855,0,8282
3532,2,4798
1491,1,1736
1716,2,2074
5755,0,8132
3114,1,4171
9922,2,14383
6300,0,8950
3657,0,4985
2664,1,3496
6623,2,9434
8228,1,11842
7300,1,10450
3670,1,5005
2713,2,3569
3468,1,4702
892,2,838
7877,0,11315
9292,2,13438
244,2,-134
9352,0,13528
1069,2,1103
5864,2,8296
43,1,-435
366,1,49
4055,0,5582
3361,1,4541
3592,0,4888
8194,2,11791
1125,2,1187
7169,0,10253
6649,2,9473
7148,1,10222
1979,0,2468
7313,2,10469
1319,1,1478
7811,2,11216
7897,2,11345
1030,2,1045
906,2,859
755,0,632
4000,2,5500
9331,1,13496
4,2,-494
2436,0,3154
4893,1,6839
331,0,-3
8933,0,12899
2724,0,3586
5586,1,7879
3805,0,5207
7602,0,10903
9635,0,13952
411,2,116
3290,0,4435
9470,0,13705
234,0,-149
9227,2,13340
4536,2,6304
8483,1,12224
4869,2,6803
7963,2,11444
213,2,-180
5107,1,7160
894,1,841
5679,0,8018
9738,2,14107
4135,1,5702
7920,0,11380
2128,0,2692
28,0,-458
4476,1,6214
